Accession,Kingdom,Ncbi.Phylum,Ncbi.Class,Ncbi.Order,Ncbi.Family,Ncbi.Genus,Ncbi.Species,Strain,Checkm_completeness,Checkm_contamination,Genome_size,Exo_amylase,Endo_amylase,Exo_cellulase,Endo_cellulase,Exo_hemicellulose,Endo_hemicellulose,Exo_chitosanase,Endo_chitosanase,Ligninase,TEA_Oxygen,TEA_Nitrate,TEA_Sulfite
GCA_029837755.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans GD04011,98.75,0.47,7116613,0,1,0,0,0,0,1,0,0,1,4,0
GCA_001457475.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans NCTC10807,99.53,0.58,6813182,0,1,0,0,0,0,1,0,0,1,4,0
GCA_001471535.2,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans FDAARGOS_133,99.53,2.73,6688016,0,1,0,0,0,0,1,0,0,2,4,0
GCA_036035015.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans MRSN953011,99.53,0.47,6388839,0,1,0,0,0,0,1,0,0,2,4,0
GCA_016728825.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans FDAARGOS_1091,99.38,0.47,6901970,0,1,0,0,0,0,1,0,0,1,4,0
GCA_034078005.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans DDA01,99.07,0.47,6930067,0,1,0,0,0,0,1,0,0,1,3,0
GCA_001813885.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans HMSC056C09,98.6,0.47,6433428,0,1,0,0,0,0,1,0,0,1,4,0
GCA_000186185.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans C54,94.07,1.4,6514720,0,1,0,0,0,0,1,0,0,1,4,0
GCA_000967095.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans NH44784-1996,99.53,0.93,6916670,0,1,0,0,0,0,1,0,0,1,4,0
GCA_027529565.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans SCCH138:Ach223910,99.53,0.47,6302419,0,0,0,0,0,0,1,0,0,2,2,0
GCA_900009125.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans R4,99.53,1.4,6626924,0,1,0,0,0,0,1,0,0,1,4,0
GCA_038024675.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans TVCGH3013,96.1,0.7,6350255,0,1,0,0,0,0,1,0,0,1,2,0
GCA_038024685.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans TVCGH2925,97.16,0,6350934,0,1,0,0,0,0,1,0,0,1,3,0
GCA_013343135.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans FDAARGOS_789,99.53,0.58,6806438,0,1,0,0,0,0,1,0,0,1,4,0
GCA_003293615.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans SOLR10,99.53,0.47,6520871,0,1,0,0,0,0,1,0,0,1,4,0
GCA_001275845.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans A7,99.47,0.47,6510516,0,1,0,0,0,0,1,0,0,1,4,0
GCA_038024655.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans TVCGH7820,96.74,0.47,6433166,0,0,0,0,0,0,1,0,0,1,4,0
GCA_001275865.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans A12,99.53,2.17,6513005,0,1,0,0,0,0,1,0,0,1,4,0
GCA_013282235.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans GN050,99.53,0.47,6452474,0,1,0,0,0,0,1,0,0,2,4,0
GCA_016745915.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii 45989,99.98,0.63,3886934,0,0,0,0,0,0,1,0,0,0,0,0
GCA_023004785.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii PT003,100,0.46,4321373,0,0,0,0,0,0,1,0,0,0,0,0
GCA_036289665.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii ACN2,99.98,0.63,4106690,0,0,0,0,0,0,1,0,0,0,0,0
GCA_028440485.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii Acb_7,100,0,3888432,0,0,0,0,0,0,1,0,0,0,0,0
GCA_000761175.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii Strain AbH12O-A2,99.73,0.82,3875775,0,0,0,0,0,0,1,0,0,0,0,0
GCA_000589295.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii 44895_1,100,0.33,4020501,0,0,0,0,0,0,1,0,0,0,0,0
GCA_000515835.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii UH20108,99.98,0.67,3880196,0,0,0,0,0,0,1,0,0,0,0,0
GCA_003584255.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii MC104,100,0,4109502,0,0,0,0,0,0,1,0,0,0,0,0
GCA_030553565.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii SGH0706,100,0.07,4141383,0,0,0,0,0,0,1,0,0,0,0,0
GCA_000682435.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii 233846,100,0.65,4505605,0,0,0,0,0,0,1,0,0,0,0,0
GCA_038433725.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii 489678,100,0.27,3814838,0,0,0,0,0,0,1,0,0,0,0,0
GCA_030850685.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii LACPHL-BACT-2023-00061,100,0,3820627,0,0,0,0,0,0,1,0,0,0,0,0
GCA_033549945.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii NNAb 2484,99.73,0.07,3935931,0,0,0,0,0,0,1,0,0,0,0,0
GCA_041357295.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii All8_10,100,0.27,3859988,0,0,0,0,0,0,1,0,0,0,0,0
GCA_002014195.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii ABUH432,99.98,0.63,4065050,0,0,0,0,0,0,1,0,0,0,0,0
GCA_031921825.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii 408,99.98,4.06,4365271,0,0,0,0,0,0,1,0,0,0,0,0
GCA_005819515.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii Aci00845,99.52,0.69,3939823,0,0,0,0,0,0,1,0,0,0,0,0
GCA_001666325.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii CCF47,99.39,0.61,3971808,0,0,0,0,0,0,1,0,0,0,0,0
GCA_003941525.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii AB_023,99.98,0.63,3985500,0,0,0,0,0,0,1,0,0,0,0,0
GCA_029847765.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii PUMA0039,100,0.14,3708994,0,0,0,0,0,0,1,0,0,0,0,0
GCA_001674135.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii ABUH778,100,0,3965102,0,0,0,0,0,0,1,0,0,0,0,0
GCA_040008895.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii HD0022680-R127,99.98,0.67,4018927,0,0,0,0,0,0,1,0,0,0,0,0
GCA_003941405.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii AB_074,99.98,0.63,3958429,0,0,0,0,0,0,1,0,0,0,0,0
GCA_021174565.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii Ab-HCG1108-31,99.98,0.61,4032566,0,0,0,0,0,0,1,0,0,0,0,0
GCA_009759935.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii SI_2017_66,99.98,0.63,3943501,0,0,0,0,0,0,1,0,0,0,0,0
GCA_025938915.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii H-79532,100,0,3903593,0,0,0,0,0,0,1,0,0,0,0,0
GCA_029748815.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii RAB14,99.98,0.63,3967996,0,0,0,0,0,0,1,0,0,0,0,0
GCA_010500585.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii SP6045,100,0,4136531,0,0,0,0,0,0,1,0,0,0,0,0
GCA_000810005.3,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii UH384_450,100,0,3886891,0,0,0,0,0,0,1,0,0,0,0,0
GCA_001758135.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii LIM941,98.77,0.82,3714158,0,0,0,0,0,0,1,0,0,0,0,0
GCA_040445535.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii UAB_Ab_068,100,0.27,3886561,0,0,0,0,0,0,1,0,0,0,0,0
GCA_020255065.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii 19A2597,100,0.27,4010222,0,0,0,0,0,0,1,0,0,0,0,0
GCA_030188385.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii 090688,99.98,0.63,4132383,0,0,0,0,0,0,1,0,0,0,0,0
GCA_029847555.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii PUMA0049,100,0.27,3660670,0,0,0,0,0,0,1,0,0,0,0,0
GCA_000810995.3,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii UH392_659,99.96,0.86,3805359,0,0,0,0,0,0,1,0,0,0,0,0
GCA_009645805.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii AMA25,100,0.14,4155316,0,0,0,0,0,0,1,0,0,0,0,0
GCA_900495185.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii 4300STDY7045732,99.98,0.63,3912326,0,0,0,0,0,0,1,0,0,0,0,0
GCA_900495715.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii 4300STDY7045785,99.98,0.86,3937131,0,0,0,0,0,0,1,0,0,0,0,0
GCA_034365725.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii 266an,100,0,4200808,0,0,0,0,0,0,1,0,0,0,0,0
GCA_016576845.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae GD0320,99.93,1.2,4749411,0,0,0,0,0,0,1,0,0,0,0,0
GCA_025514375.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae WU_MDCI_Az84,99.93,1.34,4413165,0,0,0,0,0,0,1,0,0,0,0,0
GCA_029168575.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae AB839,98.88,1.47,5092623,0,0,0,0,0,0,1,0,0,0,0,0
GCA_016502345.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae ACIN00242,99.93,1.75,4748204,0,0,0,0,0,0,1,0,0,0,0,0
GCA_023757595.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae IJ5,99.38,1.61,4423698,0,0,0,0,0,0,1,0,0,0,0,0
GCA_025716975.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae H,99.93,2.03,4472635,0,0,0,0,0,0,1,0,0,0,0,0
GCA_016508445.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae ACIN00186,99.93,1.75,4759667,0,0,0,0,0,0,1,0,0,0,0,0
GCA_013346565.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae KCJ3K37,99.93,1.54,4789378,0,0,0,0,0,0,1,0,0,0,0,0
GCA_002813045.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae XH901,97.47,1.61,4509124,0,0,0,0,0,0,1,0,0,0,0,0
GCA_016502505.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae ACIN00227,99.93,2.16,4727866,0,0,0,0,0,0,1,0,0,0,0,0
GCA_016502565.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae ACIN00204,99.93,1.75,4480349,0,0,0,0,0,0,1,0,0,0,0,0
GCA_000825165.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae CHI-40-1,99.93,2.16,4776150,0,0,0,0,0,0,1,0,0,0,0,0
GCA_039715965.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae PUMA0285,99.93,1.41,4425377,0,0,0,0,0,0,1,0,0,0,0,0
GCA_016093205.2,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae GD03393,99.93,1.61,4902892,0,0,0,0,0,0,1,0,0,0,0,0
GCA_016508545.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae ACIN00159,99.93,1.61,4339668,0,0,0,0,0,0,1,0,0,0,0,0
GCA_019702905.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae Tol 5,99.93,1.82,4799506,0,0,0,0,0,0,1,0,0,0,0,0
GCA_031253675.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae Fux382_bin40,99.38,1.5,4288540,0,0,0,0,0,0,1,0,0,0,0,0
GCA_016502465.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae ACIN00228,99.93,2.16,4736033,0,0,0,0,0,0,1,0,0,0,0,0
GCA_036130115.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae DS_MAG3,99.93,0.88,4037661,0,0,0,0,0,0,1,0,0,0,0,0
GCA_013346625.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae KCJ3K359,99.93,1.52,4681989,0,0,0,0,0,0,1,0,0,0,0,0
GCA_016502275.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae ACIN00257,99.93,1.75,4578431,0,0,0,0,0,0,1,0,0,0,0,0
GCA_025514795.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae WU_MDCI_Az229,99.93,1.88,4775262,0,0,0,0,0,0,1,0,0,0,0,0
GCA_016508365.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae ACIN00190,99.93,1.43,4581465,0,0,0,0,0,0,1,0,0,0,0,0
GCA_039716005.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae PUMA0283,99.93,1.34,4390384,0,0,0,0,0,0,1,0,0,0,0,0
GCA_001500155.3,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae HPC229,99.57,2.16,4647184,0,0,0,0,0,0,1,0,0,0,0,0
GCA_013346575.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae KCJ3K44,99.84,1.43,4573586,0,0,0,0,0,0,1,0,0,0,0,0
GCA_016506175.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae ACIN00253,99.93,1.61,4535524,0,0,0,0,0,0,1,0,0,0,0,0
GCA_027854545.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae AOR47_HL,99.93,2.09,4501570,0,0,0,0,0,0,1,0,0,0,0,0
GCA_013346585.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae KCJ3K360,99.93,1.47,4756900,0,0,0,0,0,0,1,0,0,0,0,0
GCA_013346635.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae KCJ3K32,99.93,1.61,4660073,0,0,0,0,0,0,1,0,0,0,0,0
GCA_024159405.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter indicus,Acinetobacter indicus Q22-2_T,99.93,0.41,3391961,0,0,0,0,0,0,1,0,0,0,0,0
GCA_030325765.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter indicus,Acinetobacter indicus N69-2,99.93,0.27,2874015,0,0,0,0,0,0,1,0,0,0,0,0
GCA_030325605.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter indicus,Acinetobacter indicus N167-2,99.93,0.27,2944498,0,0,0,0,0,0,1,0,0,0,0,0
GCA_032940075.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter indicus,Acinetobacter indicus IK5,99.93,0.55,3224189,0,0,0,0,0,0,1,0,0,0,0,0
