Accession,Kingdom,Ncbi.Phylum,Ncbi.Class,Ncbi.Order,Ncbi.Family,Ncbi.Genus,Ncbi.Species,Strain,Sequencing_coverage,Scaffolds_number,Scaffold_N50,Scaffold_L50,Genome_size,Exo_amylase,Endo_amylase,Exo_cellulase,Endo_cellulase,Exo_hemicellulose,Endo_hemicellulose,Exo_chitosanase,Endo_chitosanase,Ligninase,TEA_Oxygen,TEA_Nitrate,TEA_Sulfite
GCA_023758125.1,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp.,Alternaria sp. Ai002NY15,60,174,1255567,10,36921378,2,2,15,4,15,14,4,9,4,0,0,0
GCA_023758005.1,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp.,Alternaria sp. BMP 0032,60,196,976338,10,37291560,1,2,16,4,14,16,4,9,4,0,0,0
GCA_003574525.1,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp.,Alternaria sp. MG1,138,130,1661510,7,34004700,1,2,18,4,16,19,5,10,4,0,0,0
GCA_004156035.1,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria tenuissima,Alternaria tenuissima FERA 1166,103.46,22,2583941,6,35704180,1,2,19,4,18,18,5,11,4,0,0,0
GCA_004154735.1,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria tenuissima,Alternaria tenuissima FERA 24350,30,167,608082,17,33066176,1,2,19,4,16,19,4,13,4,0,0,0
GCA_004154765.1,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria tenuissima,Alternaria tenuissima FERA 648,43,124,1340965,10,33508343,1,2,20,4,17,18,4,10,4,0,0,0
GCA_023758065.1,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria ventricosa,Alternaria ventricosa BMP 2768,60,89,1329355,9,34687246,1,1,18,4,16,15,4,9,4,0,0,0
GCA_023758015.1,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria viburni,Alternaria viburni BMP 2772,60,188,1053821,12,36351767,2,2,16,4,14,16,4,10,4,0,0,0
GCA_039105305.1,Fungi,Ascomycota,Sordariomycetes,Amphisphaeriales,Apiosporaceae,Apiospora,Apiospora arundinis,Apiospora arundinis AAU 773,202,9,5301101,4,48741668,1,2,20,9,17,15,5,14,1,0,0,0
GCA_037075025.1,Fungi,Ascomycota,Sordariomycetes,Amphisphaeriales,Apiosporaceae,Apiospora,Apiospora arundinis,Apiospora arundinis CBS 124788,31,21,3412585,5,52971060,1,2,21,10,17,16,5,10,1,0,0,0
GCA_038362815.1,Fungi,Ascomycota,Sordariomycetes,Amphisphaeriales,Apiosporaceae,Apiospora,Apiospora arundinis,Apiospora arundinis CBS 45092,36,10,5193807,4,46881178,1,2,20,9,17,15,5,12,1,0,0,0
GCA_038362765.1,Fungi,Ascomycota,Sordariomycetes,Amphisphaeriales,Apiosporaceae,Apiospora,Apiospora arundinis,Apiospora arundinis IBT 11852,69,12,5250165,4,53447312,1,2,20,10,17,16,5,10,0,0,0,0
GCA_038362705.1,Fungi,Ascomycota,Sordariomycetes,Amphisphaeriales,Apiosporaceae,Apiospora,Apiospora aurea,Apiospora aurea CBS 24483,31,11,5466563,4,49776134,1,3,21,8,17,14,5,18,1,0,0,0
GCA_038364125.1,Fungi,Ascomycota,Sordariomycetes,Amphisphaeriales,Apiosporaceae,Apiospora,Apiospora kogelbergensis,Apiospora kogelbergensis CBS 117206,44,12,5138191,4,44893622,1,2,21,10,18,15,5,16,1,0,0,0
GCA_038362885.1,Fungi,Ascomycota,Sordariomycetes,Amphisphaeriales,Apiosporaceae,Apiospora,Apiospora marii,Apiospora marii CBS 20057,68,24,3348614,5,50201137,1,2,20,9,18,15,5,17,1,0,0,0
GCA_038362585.1,Fungi,Ascomycota,Sordariomycetes,Amphisphaeriales,Apiosporaceae,Apiospora,Apiospora marii,Apiospora marii CBS 49790,42,15,5090723,5,51094086,1,2,21,9,18,15,5,22,1,0,0,0
GCA_038363885.1,Fungi,Ascomycota,Sordariomycetes,Amphisphaeriales,Apiosporaceae,Apiospora,Apiospora rasikravindrae,Apiospora rasikravindrae CBS 33761,35,14,5079597,5,46378008,1,3,21,9,18,16,5,15,1,0,0,0
GCA_038362655.1,Fungi,Ascomycota,Sordariomycetes,Amphisphaeriales,Apiosporaceae,Apiospora,Apiospora saccharicola,Apiospora saccharicola CBS 33486,34,14,5789449,4,52616589,1,2,22,7,17,15,5,17,1,0,0,0
GCA_038363915.1,Fungi,Ascomycota,Sordariomycetes,Amphisphaeriales,Apiosporaceae,Apiospora,Apiospora saccharicola,Apiospora saccharicola CBS 83171,70,11,5902260,4,51869161,1,2,21,7,18,15,5,18,1,0,0,0
GCA_038364195.1,Fungi,Ascomycota,Sordariomycetes,Amphisphaeriales,Apiosporaceae,Apiospora,Apiospora sp.,Apiospora sp. CBS 14255,95,15,4997050,5,50607532,1,2,20,9,19,15,5,20,1,0,0,0
GCA_003184765.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus aculeatinus,Aspergillus aculeatinus CBS 121060,95.8,121,493913,25,36442703,2,5,16,5,16,8,6,14,0,0,0,0
GCA_047715705.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ambiguus,Aspergillus ambiguus CBS 117.58,92.6,149,550646,16,29362761,2,2,15,8,22,15,5,14,0,0,0,0
GCA_001889945.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus brasiliensis,Aspergillus brasiliensis CBS 101740,156.8,103,2027382,6,35651645,1,5,20,3,15,11,7,15,0,0,0,0
GCA_003184695.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus brunneoviolaceus,Aspergillus brunneoviolaceus CBS 621.78,106.5,153,411666,34,37451358,2,5,16,4,16,8,6,10,0,0,0,0
GCA_001511075.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus calidoustus,Aspergillus calidoustus NA,300,78,3207549,6,40564004,1,8,35,7,29,17,5,15,0,0,0,0
GCA_016861735.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus chevalieri,Aspergillus chevalieri M1,357.6,8,3787471,4,29697343,1,2,11,2,6,8,3,6,0,0,0,0
GCA_003184835.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus costaricaensis,Aspergillus costaricaensis CBS 115574,95.4,86,817474,16,36926566,1,5,16,4,15,10,6,14,0,0,0,0
GCA_001717485.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus cristatus,Aspergillus cristatus GZAAS20.1005,100,68,2316641,4,28318774,2,3,8,2,7,7,2,6,0,0,0,0
GCA_003184825.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fijiensis,Aspergillus fijiensis CBS 313.89,93.2,149,411512,28,36500514,2,5,16,4,16,8,6,13,0,0,0,0
GCA_014117485.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus flavus,Aspergillus flavus AF13,70,8,4650921,4,37438524,2,4,21,5,21,13,6,14,0,0,0,0
GCA_014784225.2,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus flavus,Aspergillus flavus CA14,140,8,6268206,3,37762961,2,3,21,5,22,13,8,19,0,0,0,0
GCA_009017415.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus flavus,Aspergillus flavus NRRL 3357,600,8,4810201,4,37749288,2,4,22,4,20,13,6,15,0,0,0,0
GCA_014117465.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus flavus,Aspergillus flavus NRRL3357,70,8,4658713,4,36995182,2,3,21,5,21,13,6,15,0,0,0,0
GCA_040142875.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus,Aspergillus fumigatus 08-19-02-30,195.719,16,3646459,4,29063333,3,4,17,8,19,12,10,15,0,0,0,0
GCA_040142855.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus,Aspergillus fumigatus 47-10,235,12,3780118,4,29164066,3,4,17,7,18,12,8,14,0,0,0,0
GCA_040142865.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus,Aspergillus fumigatus 47-4,258,26,2638439,5,29095063,3,4,17,8,16,12,8,15,0,0,0,0
GCA_029618195.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus,Aspergillus fumigatus 5.1TA,373,182,769267,13,28295305,3,3,16,7,17,11,6,13,0,0,0,0
GCA_040126065.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus,Aspergillus fumigatus AF100-9B,147,8,3760025,4,28304265,3,4,17,7,17,12,7,13,0,0,0,0
GCA_040142885.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus,Aspergillus fumigatus ATCC 13073,252,9,3905879,4,28627188,3,4,18,7,17,13,8,12,0,0,0,0
GCA_040142845.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus,Aspergillus fumigatus ATCC 42202,270,15,4706161,3,28891284,3,4,15,8,18,13,10,13,0,0,0,0
GCA_040142955.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus,Aspergillus fumigatus ATCC 46645,63,20,1959777,5,30526740,3,4,17,7,17,12,6,15,0,0,0,0
GCA_040142945.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus,Aspergillus fumigatus B5233,288,13,3948310,4,28837349,3,4,18,7,17,12,9,12,0,0,0,0
GCA_040167805.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus,Aspergillus fumigatus D141,201,25,2017413,5,28688567,3,4,16,9,16,12,7,12,0,0,0,0
GCA_040142975.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus,Aspergillus fumigatus H237,250,23,3846868,4,29197406,3,4,18,8,19,13,6,13,0,0,0,0
GCA_040167795.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus,Aspergillus fumigatus W72310,115,10,3808109,4,28150788,3,3,17,7,18,12,9,17,0,0,0,0
GCA_001029325.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus,Aspergillus fumigatus Z5,30,24,2295917,6,29303499,3,4,16,6,16,12,6,13,0,0,0,0
GCA_001890805.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus glaucus,Aspergillus glaucus CBS 516.65,175.9,82,1040687,10,27781411,1,2,10,2,6,7,3,9,0,0,0,0
GCA_003184865.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus homomorphus,Aspergillus homomorphus CBS 101889,96.6,152,535630,19,34020472,2,4,12,5,15,8,6,12,0,0,0,0
GCA_003184845.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ibericus,Aspergillus ibericus CBS 121593,100.9,116,622403,20,33425899,1,6,13,4,11,7,4,18,1,0,0,0
GCA_003184785.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus japonicus,Aspergillus japonicus CBS 114.51,100.9,163,412690,25,36080550,2,5,18,4,17,8,7,15,0,0,0,0
GCA_001890685.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus luchuensis,Aspergillus luchuensis CBS 106.47,65.7,100,2197438,6,37304755,1,6,16,4,15,10,6,15,0,0,0,0
GCA_016861625.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus luchuensis,Aspergillus luchuensis IFO 4308,497.9,8,4830482,4,37256495,1,7,16,4,16,9,6,14,0,0,0,0
GCA_016865315.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus luchuensis,Aspergillus luchuensis RIB2601,373.3,8,4484724,4,35477511,1,6,16,4,14,9,5,15,0,0,0,0
GCA_047715735.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus multicolor,Aspergillus multicolor CBS 133.54,84.9,113,817749,12,35249567,1,6,24,5,20,11,4,22,0,0,0,0
GCA_003369625.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus mulundensis,Aspergillus mulundensis DSM 5745,100,160,2829575,6,44209275,1,5,25,6,18,12,4,24,0,0,0,0
GCA_003184625.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus neoniger,Aspergillus neoniger CBS 115656,151.4,169,707186,18,35398163,1,6,14,4,15,10,6,14,0,0,0,0
GCA_003344705.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger,Aspergillus niger ATCC 13496,116.5,133,705420,18,35671207,1,7,16,4,16,11,7,9,0,0,0,0
GCA_003184595.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger,Aspergillus niger CBS 101883,117.4,107,878705,12,35830544,1,7,15,4,16,11,7,10,0,0,0,0
GCA_023134475.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger,Aspergillus niger CBS 113.50,63,168,403187,30,35621212,1,6,16,4,15,11,7,9,0,0,0,0
GCA_023137675.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger,Aspergillus niger CBS 147343,58,158,362096,33,35348511,1,6,16,4,15,10,6,9,0,0,0,0
GCA_002211485.2,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger,Aspergillus niger FDAARGOS_311,144,25,3443606,5,35806243,1,6,17,4,16,8,6,13,0,0,0,0
GCA_900248155.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger,Aspergillus niger N402 (ATCC 64974),160,19,2899611,4,35561663,1,5,18,4,15,8,7,11,0,0,0,0
GCA_024862975.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger,Aspergillus niger WU-2020,169,11,4404340,4,35884609,1,6,15,4,16,11,7,8,0,0,0,0
GCA_002007945.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus oryzae,Aspergillus oryzae BCC7051,162.335,25,4278514,5,38507590,2,5,19,5,20,14,6,13,0,0,0,0
GCA_003344505.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus phoenicis,Aspergillus phoenicis ATCC 13157,116.4,55,1344691,10,35747734,1,6,16,4,16,10,6,14,0,0,0,0
GCA_003184755.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus piperis,Aspergillus piperis CBS 112811,102.9,47,1121342,9,35269699,1,6,15,4,15,10,6,14,0,0,0,0
GCA_044049435.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudodeflectus,Aspergillus pseudodeflectus CBS 756.74,79.6,179,528257,22,39066696,1,8,44,7,27,15,5,16,0,0,0,0
GCA_018340605.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudoviridinutans,Aspergillus pseudoviridinutans IFM 55266,179,24,4753445,4,33272285,3,6,18,7,24,11,6,23,0,0,0,0
GCA_016861865.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus puulaauensis,Aspergillus puulaauensis MK2,333.1,8,4388637,4,34318862,2,6,19,3,26,13,4,21,0,0,0,0
GCA_000600275.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ruber,Aspergillus ruber CBS 135680,39.7,110,623674,14,26075740,1,2,8,2,5,7,3,6,0,0,0,0
GCA_003184585.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus saccharolyticus,Aspergillus saccharolyticus JOP 1030-1,116.4,120,591538,16,31063439,2,4,10,4,11,8,6,7,0,0,0,0
GCA_003184635.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sclerotiicarbonarius,Aspergillus sclerotiicarbonarius CBS 121057,91.6,166,362770,33,37594984,1,6,18,4,13,8,5,14,0,0,0,0
GCA_001890705.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sydowii,Aspergillus sydowii CBS 593.65,95.1,97,2288531,5,34349148,2,7,25,3,28,12,5,14,0,0,0,0
GCA_003426965.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus tanneri,Aspergillus tanneri NIH1004,30,14,4499170,4,38719388,2,3,6,2,8,4,6,20,0,0,0,0
GCA_016808415.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus terreus,Aspergillus terreus ATCC 20542,100,9,4253827,4,30360750,3,7,17,9,24,13,6,16,0,0,0,0
GCA_009932835.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus terreus,Aspergillus terreus IFO 6365,170.3,23,2163102,6,28633559,2,6,17,8,23,13,6,17,0,0,0,0
GCA_009014675.2,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus terreus,Aspergillus terreus TN-484,174.9,24,1952528,7,29605369,2,6,17,8,23,13,6,18,0,0,0,0
GCA_001890745.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus tubingensis,Aspergillus tubingensis CBS 134.48,155.5,33,2949984,5,35139854,1,6,15,4,15,11,6,14,0,0,0,0
GCA_049803905.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus tubingensis,Aspergillus tubingensis DFA,92,8,4183659,4,35447888,1,7,17,4,15,10,7,15,0,0,0,0
GCA_027923605.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus tubingensis,Aspergillus tubingensis IFM 54640,56,183,671203,17,35804281,1,6,15,4,15,10,6,12,0,0,0,0
GCA_027923885.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus tubingensis,Aspergillus tubingensis IFM 56815,42,26,2415389,6,35196421,1,5,15,4,15,10,6,12,0,0,0,0
GCA_027923665.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus tubingensis,Aspergillus tubingensis IFM 57143,114,120,570498,20,35013681,1,5,16,4,15,10,6,11,0,0,0,0
GCA_027923685.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus tubingensis,Aspergillus tubingensis IFM 57258,106,84,828725,16,35493990,1,6,17,4,16,9,6,13,0,0,0,0
GCA_013340325.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus tubingensis,Aspergillus tubingensis WU-2223L,163,15,3153774,5,35047219,1,5,15,4,15,10,6,13,0,0,0,0
GCA_001078395.2,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus udagawae,Aspergillus udagawae IFM 46973,90,17,4123300,4,32035701,3,6,14,8,23,16,6,18,0,0,0,0
GCA_047715775.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus undulatus,Aspergillus undulatus CBS 261.88,79.3,190,407178,24,32107223,2,6,17,4,17,14,3,11,0,0,0,0
GCA_047715655.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus unguis,Aspergillus unguis CBS 132.55,109,142,1110383,9,26052459,1,4,20,4,14,8,3,15,0,0,0,0
GCA_003184745.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus uvarum,Aspergillus uvarum CBS 121591,106.4,172,396097,30,35840536,2,5,17,4,16,8,6,15,1,0,0,0
GCA_003184925.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus vadensis,Aspergillus vadensis CBS 113365,100.8,60,1025125,11,35658646,1,5,15,4,15,11,6,14,0,0,0,0
GCA_001890125.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus versicolor,Aspergillus versicolor CBS 583.65,178.1,51,2487993,5,33121003,2,8,28,3,29,16,4,16,0,0,0,0
GCA_018404265.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus viridinutans,Aspergillus viridinutans IFM 47045,142,47,2861404,5,34286126,3,4,14,8,17,10,5,13,0,0,0,0
GCA_046000195.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus wentii,Aspergillus wentii CBS141173,135,7,4417627,3,31224183,4,3,13,6,11,11,6,12,1,0,0,0
GCA_001890725.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus wentii,Aspergillus wentii DTO 134E9,95,27,4128426,4,31295010,4,4,14,5,10,11,6,11,1,0,0,0
GCA_026184555.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus wentii,Aspergillus wentii IMI 49129,50.4,127,1128967,11,31516073,4,4,14,5,10,10,6,11,1,0,0,0
GCA_000721775.1,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium melanogenum,Aureobasidium melanogenum CBS 110374,140.2,150,822863,10,26199752,2,5,14,4,11,8,2,6,3,0,0,0
GCA_019923975.1,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium melanogenum,Aureobasidium melanogenum EXF-10726,148.805,182,404316,23,26860811,2,5,13,4,12,9,2,4,4,0,0,0
GCA_019925035.1,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium melanogenum,Aureobasidium melanogenum EXF-3371,747.421,115,428831,19,25285819,2,5,15,4,12,9,2,3,4,0,0,0
