ncbi_genbank_assembly_accession,Checkm_completenes,Checkm_contamination,Silva.Kingdom,Silva.Phylum,Silva.Class,Silva.Order,Silva.Family,Silva.Genus,Silva.Species,Ncbi.Species,Strain,Exo_amylase,Endo_amylase,Exo_cellulase,Endo_cellulase,Exo_hemicellulose,Endo_hemicellulose,Exo_chitosanase,Endo_chitosanase,Ligninase,TEA_Oxygen,TEA_Nitrate,TEA_Sulfite
GCA_002247305.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii California 16 RSA350,0,0,0,0,0,0,1,0,0,0,0,0
GCA_021493525.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Cb NMII RSA 439 passage 42,0,0,0,0,0,0,1,0,0,0,0,0
GCA_024806645.1,100,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_elkanii,Bradyrhizobium elkanii,Bradyrhizobium elkanii USDA 90,1,2,2,1,1,0,1,0,0,3,3,0
GCA_002633945.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii 14160-001,0,0,0,0,0,0,1,0,0,0,0,0
GCA_001526905.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia MSMB1824WGS,0,1,3,0,2,0,2,0,0,4,0,0
GCA_018130795.1,100,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_japonicum,Bradyrhizobium japonicum,Bradyrhizobium japonicum SZCCT0402,1,2,0,1,0,1,2,0,0,3,1,0
GCA_013392745.1,100,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_elkanii,Bradyrhizobium elkanii,Bradyrhizobium elkanii SEMIA 5019,1,2,2,1,1,0,1,1,0,3,3,0
GCA_021493545.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Cb NMII RSA 439 passage 31,0,0,0,0,0,0,1,0,0,0,0,0
GCA_020420225.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia AU25297,0,1,3,0,2,0,2,0,0,3,0,0
GCA_007827955.1,100,0,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Nitrospirillum,Nitrospirillum_amazonense,Nitrospirillum amazonense,Nitrospirillum amazonense BR 11622,2,0,11,2,5,0,3,0,0,1,0,0
GCA_002247285.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Ohio 314 RSA270,0,0,0,0,0,0,1,0,0,0,0,0
GCA_001533445.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia MSMB724WGS,0,1,3,0,2,0,2,0,0,4,0,0
GCA_001522335.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia INT1-BP233,0,1,3,0,2,1,2,0,0,4,0,0
GCA_000018745.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii RSA 331,0,0,0,0,0,0,1,0,0,0,0,0
GCA_025961175.1,100,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_elkanii,Bradyrhizobium elkanii,Bradyrhizobium elkanii USDA 100,1,2,2,1,1,0,1,0,0,3,3,0
GCA_040549505.1,100,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_elkanii,Bradyrhizobium elkanii,Bradyrhizobium elkanii USDA 121,1,2,1,1,1,0,1,0,0,3,4,0
GCA_001532125.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia MSMB616WGS,0,1,3,0,2,0,2,0,0,4,0,0
GCA_001530905.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia MSMB1819WGS,0,1,3,0,2,0,2,0,0,4,0,0
GCA_001522215.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia INT1-BP232,0,1,3,0,2,1,2,0,0,4,0,0
GCA_025961025.1,100,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_elkanii,Bradyrhizobium elkanii,Bradyrhizobium elkanii USDA 101,1,2,2,1,1,0,1,0,0,3,3,0
GCA_000007765.2,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii RSA 493,0,0,0,0,0,0,1,0,0,0,0,0
GCA_025961055.1,100,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_elkanii,Bradyrhizobium elkanii,Bradyrhizobium elkanii USDA 116,1,2,2,1,1,0,1,0,0,3,3,0
GCA_002924385.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii M44 RSA461,0,0,0,0,0,0,1,0,0,0,0,0
GCA_002896815.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Q540,0,0,0,0,0,0,1,0,0,0,0,0
GCA_002633925.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii CbCVIC1,0,0,0,0,0,0,1,0,0,0,0,0
GCA_002633885.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Scurry_Q217,0,0,0,0,0,0,1,0,0,0,0,0
GCA_002109345.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii RSA439,0,0,0,0,0,0,1,0,0,0,0,0
GCA_002634045.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Heizberg,0,0,0,0,0,0,1,0,0,0,0,0
GCA_001533295.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia MSMB1228WGS,1,1,2,0,1,0,2,1,0,3,0,0
GCA_001650635.1,100,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospirillaceae,Magnetospirillum,Magnetospirillum_moscoviense,Magnetospirillum moscoviense,Magnetospirillum moscoviense BB-1,0,0,0,0,1,0,1,0,0,1,1,3
GCA_003849965.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii DSTL_1R,0,0,0,0,0,0,1,0,0,0,0,0
GCA_002896835.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Q559,0,0,0,0,0,0,1,0,0,0,0,0
GCA_021494005.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Cb NMII RSA 439 passage 51,0,0,0,0,0,0,1,0,0,0,0,0
GCA_002896795.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Cb3506,0,0,0,0,0,0,1,0,0,0,0,0
GCA_025960955.1,100,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_elkanii,Bradyrhizobium elkanii,Bradyrhizobium elkanii USDA 84a,1,2,2,1,1,0,1,1,0,3,3,0
GCA_001525965.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia INT3-BP132,0,1,3,0,2,0,2,0,0,4,0,0
GCA_002094935.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii RSA 439,0,0,0,0,0,0,1,0,0,0,0,0
GCA_017834125.1,100,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_elkanii,Bradyrhizobium elkanii,Bradyrhizobium elkanii USDA 406,1,2,2,1,1,0,1,0,0,3,3,0
GCA_002924395.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Nine Mile RSA514,0,0,0,0,0,0,1,0,0,0,0,0
GCA_002924345.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Nine Mile RSA363,0,0,0,0,0,0,1,0,0,0,0,0
GCA_000168875.3,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii MSU Goat Q177,0,0,0,0,0,0,1,0,0,0,0,0
GCA_014201825.1,100,0,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidocella,Acidocella_aromatica,Acidocella aromatica,Acidocella aromatica DSM 27026,0,0,1,0,0,0,1,0,0,1,0,0
GCA_003858195.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia Bp9032,0,1,3,0,1,0,2,1,0,3,0,0
GCA_003857515.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia Bp9036,0,1,2,0,1,0,2,1,0,3,0,0
GCA_001531915.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia MSMB2211WGS,0,0,2,0,1,0,2,1,0,1,0,0
GCA_002924325.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii California 16 RSA350 clone 2,0,0,0,0,0,0,1,0,0,0,0,0
GCA_027943605.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii VS42,0,0,0,0,0,0,1,0,0,0,0,0
GCA_018130825.1,100,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_liaoningense,Bradyrhizobium liaoningense,Bradyrhizobium liaoningense SZCCT0400,1,2,0,1,0,1,2,0,0,3,1,0
GCA_003854435.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia Bp9013,0,1,3,0,2,0,2,0,0,3,0,0
GCA_003857475.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia Bp9120,0,1,2,0,1,0,2,0,0,3,0,0
GCA_002924305.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Australia RSA297,0,0,0,0,0,0,1,0,0,0,0,0
GCA_018130765.1,100,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_iriomotense,Bradyrhizobium iriomotense,Bradyrhizobium iriomotense SZCCT0346,1,2,0,1,0,1,2,0,0,3,1,0
GCA_001524835.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia MSMB1129,0,1,3,0,2,0,2,0,0,4,0,0
GCA_020419005.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia AU41616,0,1,2,0,1,0,2,0,0,3,0,0
GCA_020420075.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia AU29080,0,1,3,0,2,0,2,0,0,4,0,0
GCA_024807285.1,100,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_japonicum,Bradyrhizobium japonicum,Bradyrhizobium japonicum USDA 45,1,1,0,1,0,1,2,0,0,4,1,0
GCA_021493925.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Cb NMII RSA 439 passage 13,0,0,0,0,0,0,1,0,0,0,0,0
GCA_024809375.1,100,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_elkanii,Bradyrhizobium elkanii,Bradyrhizobium elkanii USDA 46,1,2,2,1,1,0,1,0,0,3,3,0
GCA_021494865.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Cb NMII RSA 439 passage 21,0,0,0,0,0,0,1,0,0,0,0,0
GCA_024808795.1,100,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_elkanii,Bradyrhizobium elkanii,Bradyrhizobium elkanii USDA 71,1,2,2,1,1,0,1,0,0,3,3,0
GCA_002634005.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii 18430,0,0,0,0,0,0,1,0,0,0,0,0
GCA_002249845.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Ohio 314 RSA338,0,0,0,0,0,0,1,0,0,0,0,0
GCA_001522525.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia INT1-BP277,0,1,3,0,2,0,2,0,0,4,0,0
GCA_002634065.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Schperling,0,0,0,0,0,0,1,0,0,0,0,0
GCA_002924425.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Australia RSA425,0,0,0,0,0,0,1,0,0,0,0,0
GCA_000019865.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii CbuG_Q212,0,0,0,0,0,0,1,0,0,0,0,0
GCA_003853995.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia Bp8972,0,1,3,0,2,0,2,0,0,4,0,0
GCA_024807775.1,100,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_elkanii,Bradyrhizobium elkanii,Bradyrhizobium elkanii USDA 71a,1,2,2,1,1,0,1,0,0,3,3,0
GCA_021493985.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Cb NMII RSA 439 passage 67,0,0,0,0,0,0,1,0,0,0,0,0
GCA_027943585.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii 406,0,0,0,0,0,0,1,0,0,0,0,0
GCA_002247265.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Dyer RSA345,0,0,0,0,0,0,1,0,0,0,0,0
GCA_002247185.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Idaho Goat Q195,0,0,0,0,0,0,1,0,0,0,0,0
GCA_002247155.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Dugway 7E65-68,0,0,0,0,0,0,1,0,0,0,0,0
GCA_002633905.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii 42785537,0,0,0,0,0,0,1,0,0,0,0,0
GCA_038900575.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia_nodosa,Paraburkholderia nodosa,Paraburkholderia nodosa JPY164,0,1,4,1,1,1,1,0,0,2,3,0
GCA_001522295.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia RF2-non_BP4,0,1,3,0,2,0,2,0,0,4,0,0
GCA_021494885.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Cb NMII RSA 439 passage 05,0,0,0,0,0,0,1,0,0,0,0,0
GCA_001572765.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii 3345937,0,0,0,0,0,0,1,0,0,0,0,0
GCA_007828035.1,100,0,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Nitrospirillum,Nitrospirillum_amazonense,Nitrospirillum amazonense,Nitrospirillum amazonense BR 12005,2,0,12,0,6,2,4,0,0,3,0,0
GCA_000017105.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Dugway 5J108-111,0,0,0,0,0,0,1,0,0,0,0,0
GCA_024808455.1,100,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_japonicum,Bradyrhizobium japonicum,Bradyrhizobium japonicum USDA 38,1,1,0,1,0,1,2,0,0,4,1,0
GCA_002247335.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii California 33 RSA329,0,0,0,0,0,0,1,0,0,0,0,0
GCA_003849885.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii DSTL_8,0,0,0,0,0,0,1,0,0,0,0,0
GCA_021494895.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Cb NMII RSA 439 passage 16,0,0,0,0,0,0,1,0,0,0,0,0
GCA_004006195.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii 2014-PE-15890,0,0,0,0,0,0,1,0,0,0,0,0
GCA_021493505.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Cb NMII RSA 439 passage 03,0,0,0,0,0,0,1,0,0,0,0,0
GCA_002633985.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii 2574,0,0,0,0,0,0,1,0,0,0,0,0
GCA_018130925.1,100,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_japonicum,Bradyrhizobium japonicum,Bradyrhizobium japonicum SZCCT0403,1,2,0,1,0,1,2,0,0,3,1,0
GCA_002896735.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Q532,0,0,0,0,0,0,1,0,0,0,0,0
GCA_025961075.1,100,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_elkanii,Bradyrhizobium elkanii,Bradyrhizobium elkanii USDA 103,1,2,2,1,1,0,1,1,0,3,3,0
GCA_002634025.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Henzerling,0,0,0,0,0,0,1,0,0,0,0,0
GCA_001530205.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia MSMB1063WGS,0,1,3,0,2,0,2,0,0,4,0,0
GCA_003849875.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii DSTL_10,0,0,0,0,0,0,1,0,0,0,0,0
GCA_003858065.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia Bp9035,0,1,3,0,2,0,2,0,0,4,0,0
GCA_021494915.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Cb NMII RSA 439 passage 61,0,0,0,0,0,0,1,0,0,0,0,0
